theta_s,theta_d,ROE,R/G_pred
0.7,0.8,30,4.2076376116096
0.7,0.8,35,4.208297781856262
0.7,0.8,40,4.2089580617365945
0.8,0.8,30,4.265147764371208
0.8,0.8,35,4.26581798030054
0.8,0.8,40,4.266488306721091
0.7,0.9,30,4.2456538132832184
0.7,0.9,35,4.2463165646981045
0.7,0.9,40,4.246979425405317
0.8,0.9,30,4.303163966044822
0.8,0.9,35,4.303836763142376
0.8,0.9,40,4.3045096703898125
0.7,1.0,30,4.28367001495683
0.7,1.0,35,4.284335347539942
0.7,1.0,40,4.285000789074042
0.8,1.0,30,4.341180167718437
0.8,1.0,35,4.341855545984218
0.8,1.0,40,4.3425310340585375
